step,gleu,accuracy
0,0.4855039321716932,0.5072415478845854
100,0.4921051833737118,0.5268500952682661
200,0.4915889346354621,0.5226833989100557
300,0.49259362600297674,0.5212134744791256
400,0.4922512620783915,0.524380182460285
500,0.4932436409440044,0.5264174782824119
600,0.492096184228299,0.5277903021719902
700,0.4918572397470071,0.5278020770026669
800,0.4906552195220009,0.5297816201537351
900,0.49198623464341934,0.5287954694200995
1000,0.4910708128819203,0.52727757585299
1100,0.49028177515964816,0.5272851255300854
1200,0.4893070086707212,0.5257855486300093
1300,0.49079381560883234,0.5289557750979512
1400,0.48923291546558684,0.5297854368795439
1500,0.4905932853677018,0.5257335122645032
1600,0.4901014198568028,0.5281090933201021
1700,0.49023732127265174,0.5248769627024866
1800,0.49153437336332995,0.5272674281298466
1900,0.491647713504422,0.525823904628947
2000,0.49100622413972594,0.5300793778542415
